"LOGIN","CONTRASINAL","NOME","HOME_DIR","SHELL"
"root","?","root","/root","/bin/bash"
"daemon","?","daemon","/usr/sbin","/usr/sbin/nologin"
"bin","?","bin","/bin","/usr/sbin/nologin"
"sys","?","sys","/dev","/usr/sbin/nologin"
"sync","?","sync","/bin","/bin/sync"
"games","?","games","/usr/games","/usr/sbin/nologin"
"man","?","man","/var/cache/man","/usr/sbin/nologin"
"lp","?","lp","/var/spool/lpd","/usr/sbin/nologin"
"mail","?","mail","/var/mail","/usr/sbin/nologin"
"news","?","news","/var/spool/news","/usr/sbin/nologin"
"uucp","?","uucp","/var/spool/uucp","/usr/sbin/nologin"
"proxy","?","proxy","/bin","/usr/sbin/nologin"
"www-data","?","www-data","/var/www","/usr/sbin/nologin"
"backup","?","backup","/var/backups","/usr/sbin/nologin"
"list","?","Mailing List Manager","/var/list","/usr/sbin/nologin"
"irc","?","ircd","/run/ircd","/usr/sbin/nologin"
"gnats","?","Gnats Bug-Reporting System (admin)","/var/lib/gnats","/usr/sbin/nologin"
"nobody","?","nobody","/nonexistent","/usr/sbin/nologin"
"systemd-network","?","systemd Network Management,,,","/run/systemd","/usr/sbin/nologin"
"systemd-resolve","?","systemd Resolver,,,","/run/systemd","/usr/sbin/nologin"
"messagebus","?","","/nonexistent","/usr/sbin/nologin"
"systemd-timesync","?","systemd Time Synchronization,,,","/run/systemd","/usr/sbin/nologin"
"syslog","?","","/home/syslog","/usr/sbin/nologin"
"_apt","?","","/nonexistent","/usr/sbin/nologin"
"tss","?","TPM software stack,,,","/var/lib/tpm","/bin/false"
"uuidd","?","","/run/uuidd","/usr/sbin/nologin"
"tcpdump","?","","/nonexistent","/usr/sbin/nologin"
"avahi-autoipd","?","Avahi autoip daemon,,,","/var/lib/avahi-autoipd","/usr/sbin/nologin"
"usbmux","?","usbmux daemon,,,","/var/lib/usbmux","/usr/sbin/nologin"
"dnsmasq","?","dnsmasq,,,","/var/lib/misc","/usr/sbin/nologin"
"kernoops","?","Kernel Oops Tracking Daemon,,,","/","/usr/sbin/nologin"
"avahi","?","Avahi mDNS daemon,,,","/run/avahi-daemon","/usr/sbin/nologin"
"cups-pk-helper","?","user for cups-pk-helper service,,,","/home/cups-pk-helper","/usr/sbin/nologin"
"lightdm","?","Light Display Manager","/var/lib/lightdm","/bin/false"
"rtkit","?","RealtimeKit,,,","/proc","/usr/sbin/nologin"
"whoopsie","?","","/nonexistent","/bin/false"
"speech-dispatcher","?","Speech Dispatcher,,,","/run/speech-dispatcher","/bin/false"
"saned","?","","/var/lib/saned","/usr/sbin/nologin"
"colord","?","colord colour management daemon,,,","/var/lib/colord","/usr/sbin/nologin"
"pulse","?","PulseAudio daemon,,,","/run/pulse","/usr/sbin/nologin"
"hplip","?","HPLIP system user,,,","/run/hplip","/bin/false"
"belay","?","belay,,,","/home/belay","/bin/bash"
"geoclue","?","","/var/lib/geoclue","/usr/sbin/nologin"
"_rpc","?","","/run/rpcbind","/usr/sbin/nologin"
"statd","?","","/var/lib/nfs","/usr/sbin/nologin"
"debian-tor","?","","/var/lib/tor","/bin/false"
"fwupd-refresh","?","fwupd-refresh user,,,","/run/systemd","/usr/sbin/nologin"
"sshd","?","","/run/sshd","/usr/sbin/nologin"
"nvidia-persistenced","?","NVIDIA Persistence Daemon,,,","/nonexistent","/usr/sbin/nologin"
"nm-openvpn","?","NetworkManager OpenVPN,,,","/var/lib/openvpn/chroot","/usr/sbin/nologin"
